Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu,Qua_Tang
Laptop ASUS Vivobook S 14 OLED S5406MA-PP028W (Ultra 5-125H/RAM 16GB/Onboard/512GB SSD/ Windows 11),23490000,0,25990000,ASUS,"('1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop HP 14s 14-em0085AU (835T8PA) (Ryzen 3 7320U/RAM 8GB/Onboard/512GB SSD/ Windows 11),8990000,0,12490000,HP,"('1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop HP Pavilion 14-dv2072TU (7C0W1PA) (i7-1255U) (Vàng),17990000,0,23890000,HP,()
Laptop Acer Aspire 3 A315-59-51X8 (NX.K6TSV.00F) (i5-1235U) (Bạc),12990000,0,15490000,ACER,"('1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop gaming Acer Nitro 5 Tiger AN515-58-769J ( i7-12700H/RAM 8GB/RTX 3050/512GB SSD/Windows 11),21490000,0,31790000,ACER,"('1x Ba lô Acer Gaming SUV', '1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021', '1x Mã giảm thêm 500.000đ cho RAM Laptop 8GB')"
Laptop gaming ASUS TUF Gaming F15 - FX507ZC4-HN095W (i5-12500H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),20990000,0,24990000,ASUS,"('1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop Acer Aspire 3 A315-59-381E (NX.K6TSV.006) (i3-1215U) (Bạc),8990000,0,11990000,ACER,"('1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop HP 14-ep0112TU (8C5L1PA) (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11),16790000,0,19590000,HP,"('1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop Lenovo Ideapad Slim 3 15IRH8 - 83EM003EVN (i7-13620H) (Xám),17990000,0,18490000,LENOVO,"('1x Túi đeo lưng/ Balo laptop Targus 15.6 TSB883 Black (Safire) (Quà tặng - logo Phong Vũ)', '1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
Laptop gaming ASUS TUF Gaming A15 FA506NC-HN031W (Ryzen 5 7535HS/RAM 16GB/GeForce RTX 3050/1TB SSD/ Windows 11 Home),19490000,0,23490000,ASUS,"('1x Túi đeo lưng/ Balo laptop Targus 15.6 TSB883 Black (Safire) (Quà tặng - logo Phong Vũ)', '1x Mã giảm thêm 100.000đ cho phần mềm M365 Personal hoặc Family', '1x Mã giảm thêm 150.000đ cho phần mềm Office Home và Student 2021')"
