name,price,image
Smart tivi LG 4K 43 inch 43UQ7050PSA,10900000.0,smart-tivi-lg-4k-43-inch-43uq7050psa-1.jpg
Smart tivi LG 4K 50 inch 50UQ7050PSA,11900000.0,smart-tivi-lg-4k-50-inch-50uq7050psa-1.jpg
Google tivi Asanzo 32 inch 32EX8,3300000.0,google-tivi-asanzo-32-inch-32ex8-1.jpg
Google tivi Sony OLED 4K 65 inch XR-65A95L,92100000.0,google-tivi-sony-oled-4k-65-inch-xr-65a95l-1.jpg
Google tivi Sony OLED 4K 77 inch XR-77A95L,145800000.0,google-tivi-sony-oled-4k-77-inch-xr-77a95l-1.jpg
Google tivi Sony 4K 85 inch XR-85X95L,119900000.0,google-tivi-sony-4k-85-inch-xr-85x95l-1.jpg
Smart tivi Asiatic 43 inch XR43A,4500000.0,smart-tivi-asiatic-43-inch-xr43a-1.jpg
Android tivi Akino 4K 55 inch TL-55HU9,6590000.0,android-tivi-akino-4k-55-inch-tl-55hu9-1.jpg
Google tivi TCL 4K 55 inch 55P745,9390000.0,google-tivi-tcl-4k-55-inch-55p745-1.jpg
Google tivi Coocaa QLED 4K 55 inch 55Y72 Pro,8790000.0,google-tivi-coocaa--qled-4k-55-inch-55y72-pro-1.jpg
Google tivi Coocaa 4K 55 inch 55Y72,7290000.0,google-tivi-coocaa-4k-55-inch-55y72-1.jpg
Google tivi Coocaa 4K 65 inch 65Y72,10490000.0,google-tivi-coocaa-4k-65-inch-65y72-1.jpg
Google tivi Xiaomi Pro 4K 65 inch L65M8-A2SEA,13790000.0,google-tivi-xiaomi-pro-4k-65-inch-l65m8-a2sea-1.jpg
Google tivi Xiaomi Pro 4K 55 inch L55M8-A2SEA,9490000.0,google-tivi-xiaomi-pro-4k-55-inch-l55m8-a2sea-1.jpg
Google tivi Xiaomi Pro 4K 43 inch L43M8-A2SEA,6490000.0,google-tivi-xiaomi-pro-4k-43-inch-l43m8-a2sea-1.jpg
Google tivi Xiaomi A 4K 55 inch L55M8-P2SEA,8990000.0,google-tivi-xiaomi-4k-55-inch-l55m8-p2sea-1.jpg
Google tivi Xiaomi A 43 inch L43M8-P2SEA,5990000.0,google-tivi-xiaomi-43-inch-l43m8-p2sea-1.jpg
Google tivi Xiaomi A 32 inch L32M8-P2SEA,3990000.0,google-tivi-xiaomi-32-inch-l32m8-p2sea-1.jpg
Smart tivi LG 4K 75 inch 75UR7550PSC,17890000.0,smart-tivi-lg-4k-75-inch-75ur7550psc-1.jpg
Smart tivi LG QNED 4K 75 inch 75QNED86SRA,72990000.0,smart-tivi-lg-qned-4k-75-inch-75qned86sra-1.jpg
Smart tivi LG QNED 4K 75 inch 75QNED80SRA,28890000.0,smart-tivi-lg-qned-4k-75-inch-75qned80sra-1.jpg
Smart tivi LG 4K 65 inch 65UR9050PSK,15490000.0,smart-tivi-lg-4k-65-inch-65ur9050psk-1.jpg
Smart tivi LG 4K 65 inch 65UR8050PSB,14890000.0,smart-tivi-lg-4k-65-inch-65ur8050psb-1.jpg
Android tivi Casper 43 inch 43FGA610,5690000.0,android-tivi-casper-43-inch-43fga610-1.jpg
Smart tivi LG 4K 65 inch 65UR7550PSC,13490000.0,smart-tivi-lg-4k-65-inch-65ur7550psc-1.jpg
Smart tivi LG QNED 4K 65 inch 65QNED86SRA,47490000.0,smart-tivi-lg-qned-4k-65-inch-65qned86sra-1.jpg
Smart tivi LG QNED 4K 65 inch 65QNED80SRA,20490000.0,smart-tivi-lg-qned-4k-65-inch-65qned80sra-1.jpg
Smart tivi OLED Evo LG 4K 65 inch 65G3PSA,74900000.0,smart-tivi-oled-evo-lg-4k-65-inch-65g3psa-1.jpg
Smart tivi OLED Evo LG 4K 55 inch 65C3PSA,54990000.0,smart-tivi-lg-oled-evo-4k-65-inch-65c3psa-1.jpg
Smart tivi LG OLED 4K 65 inch 65A3PSA,57900000.0,smart-tivi-lg-oled-4k-65-inch-65a3psa-1.jpg
Smart tivi LG 4K 55 inch 55UR9050PSK,14890000.0,smart-tivi-lg-4k-55-inch-55ur9050psk-1.jpg
Smart tivi LG 4K 55 inch 55UR8050PSB,12890000.0,smart-tivi-lg-4k-55-inch-55ur8050psb-1.jpg
